topic_name,confidence
US-China Trade War & Geopolitics,0.7892067092216283
International Trade & Economic Policy,0.7899839495783527
Big Tech & Digital Platforms,0.8037107235200357
Mergers & Acquisitions,0.8060008760469441
Automotive Industry & Corporate Leadership,0.8072188641547444
Financial Regulation & Corporate Scandals,0.8199074094212687
Banking & Financial Services,0.8254636151217764
Oil & Energy Markets,0.8298964287207379
Aviation & Air Transportation,0.8439497807633892
"COVID-19, Manufacturing & Labor Markets",0.8440731604384945
Macroeconomy & Financial Markets,0.8570180259055123
Corporate Earnings & Equity Markets,0.9018640403939977
